Manhattan,1,2,3,4,5,6,7,8,9,10
1,0,15757.69126,20200.25944,9517.668233,5588.853635,3281.488247,1430.208678,602.9548488,2102.553978,3211.455756
2,,0,16003.499,7219.196667,10221.031,16325.2705,14506.48589,15335.9574,14980.0561,12922.93136
3,,,0,10690.48433,14613.552,17521.51767,18775.12146,19602.26281,18111.88542,16995.13354
4,,,,0,3935.292667,9116.0245,8090.510188,8918.813117,7771.222078,6312.530012
5,,,,,0,6110.8325,4293.501903,5123.066808,4768.923,2710.0565
6,,,,,,0,1855.579909,2682.569234,1358.795895,3413.036179
7,,,,,,,0,833.4302825,674.8275699,1784.512045
8,,,,,,,,0,1500.824884,2613.997305
9,,,,,,,,,0,2062.251068
10,,,,,,,,,,0
